0.12743694,1.0,0.070682235,0.13983269,0.6008344,0.5250335,1.0,0.07837787,0.08668401,0.6938417,0.3412411,1.0,0.24137379,0.2070598,0.575448,0.30631196,1.0,0.17366958,0.100688025,0.36049613
0.12681238,1.0,0.07076008,0.13992473,0.6002257,0.5247722,1.0,0.07853964,0.08638833,0.6936139,0.34136057,1.0,0.24139845,0.20693997,0.5751674,0.30641288,1.0,0.17359033,0.100612484,0.36034334
0.12653689,1.0,0.07055225,0.13994467,0.59984356,0.5244917,1.0,0.07828529,0.08635375,0.6934861,0.3414513,1.0,0.24113075,0.20695849,0.5750638,0.3061613,1.0,0.17350873,0.10054137,0.36021525
0.1266957,1.0,0.07062775,0.1398974,0.5995934,0.52430296,1.0,0.07847512,0.08636046,0.6932518,0.34142047,1.0,0.24125747,0.20700988,0.57487947,0.3065029,1.0,0.1735659,0.100444876,0.36002555
0.12638696,1.0,0.07052339,0.13976042,0.59929425,0.5240766,1.0,0.07829453,0.08631892,0.69305694,0.34127575,1.0,0.24088274,0.20678136,0.57457685,0.30633867,1.0,0.17331739,0.10041706,0.36000335
0.12597096,1.0,0.07069275,0.13996024,0.5992949,0.5242139,1.0,0.07825823,0.08622538,0.6930945,0.34158298,1.0,0.24110007,0.20701183,0.5746501,0.3065821,1.0,0.17355275,0.100463755,0.3599701
0.1294606,1.0,0.07708122,0.13433123,0.59858483,0.5424582,1.0,0.08015046,0.08125405,0.7119105,0.34694222,1.0,0.26062998,0.2084209,0.59554493,0.31015626,1.0,0.1882662,0.10223362,0.36207163
0.12983765,1.0,0.07719796,0.13426502,0.59849775,0.5429888,1.0,0.08014989,0.08125006,0.71179515,0.34719014,1.0,0.26084363,0.20844452,0.59547246,0.31009904,1.0,0.18844773,0.10229615,0.36188477
0.13013181,1.0,0.07718877,0.13429162,0.59846675,0.54322684,1.0,0.080345444,0.08124757,0.71203864,0.34714535,1.0,0.26061743,0.20842847,0.5953936,0.31046984,1.0,0.18812326,0.102211945,0.36197886
0.12952945,1.0,0.07719638,0.13429278,0.5988287,0.54289144,1.0,0.08007439,0.081327066,0.7122623,0.34727463,1.0,0.26094815,0.20856799,0.5956713,0.3104397,1.0,0.18846121,0.10222597,0.3621615
0.12939286,1.0,0.07716798,0.13435784,0.5983564,0.5427195,1.0,0.08025286,0.08136362,0.71176153,0.34733212,1.0,0.2606642,0.20837118,0.5953504,0.3103708,1.0,0.18830091,0.102189265,0.3619556
0.12981045,1.0,0.07722577,0.13443016,0.5983358,0.5427454,1.0,0.08031994,0.081250004,0.7118009,0.3472378,1.0,0.26094314,0.20846368,0.595375,0.31048557,1.0,0.18841009,0.102157384,0.36195716
